urn,la_code,la_code_new,stat_neighbours,stat_neighbours_la_code,stat_neighbours_previous,local_authority_ons_name,also_known_as,region_code,region_name,domain,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad23cd,ltla23cd,ltla23nm,ltla23nmw,ltla23_ons,utla23nm,country,ons_population_0-25,ons_la_type
80486,301,E09000002,"308, 821, 313, 333, 336, 307, 304, 312, 874, 203","E09000010, E06000032, E09000018, E08000028, E08000031, E09000009, E09000005, E09000017, E06000031, E09000011","330, 331, 308, 203, 821, 352, 316, 892, 871, 320",Barking and Dagenham,,GL,London,lbbd.gov.uk,301,E12000007,London,E09000002,E09000002,Barking and Dagenham,,E09000002,Barking and Dagenham,England,85041,London Borough
80487,302,E09000003,"320, 870, 310, 317, 315, 306, 209, 312, 309, 307","E09000031, E06000038, E09000015, E09000026, E09000024, E09000008, E09000023, E09000017, E09000014, E09000009","305, 307, 312, 313, 314, 315, 826, 870, 317, 319",Barnet,,GL,London,barnet.gov.uk,302,E12000007,London,E09000003,E09000003,Barnet,,E09000003,Barnet,England,124296,London Borough
80426,370,E08000016,"372, 384, 357, 371, 332, 894, 840, 390, 807, 394","E08000018, E08000036, E08000008, E08000017, E08000027, E06000020, E06000047, E08000037, E06000003, E08000024","371, 840, 812, 807, 372, 342, 394, 357, 384, 359",Barnsley,,YH,Yorkshire and the Humber,barnsley.gov.uk,370,E12000003,Yorkshire and the Humber,E08000016,E08000016,Barnsley,,E08000016,Barnsley,England,69889,Metropolitan District
80427,800,E06000022,"816, 358, 919, 356, 938, 314, 825, 931, 873, 916","E06000014, E08000009, E10000015, E08000007, E10000032, E09000021, E06000060, E10000025, E10000003, E10000013","873, 878, 916, 850, 802, 931, 803, 938, 865, 885",Bath and North East Somerset,,SW,South West,bathnes.gov.uk,800,E12000009,South West,E06000022,E06000022,Bath and North East Somerset,,E06000022,Bath and North East Somerset,England,64037,Unitary Authority
80428,822,E06000055,"303, 826, 941, 311, 937, 839, 886, 935, 881, 866","E09000004, E06000042, E06000062, E09000016, E10000031, E06000058, E10000016, E10000029, E10000012, E06000030","831, 881, 919, 886, 887, 826, 940, 941, 866, 937",Bedford Borough,,E,East of England,bedford.gov.uk,822,E12000006,East of England,E06000055,E06000055,Bedford,,E06000055,Bedford,England,57592,Unitary Authority
80488,303,E09000004,"311, 822, 886, 881, 883, 887, 826, 866, 839, 351","E09000016, E06000055, E10000016, E10000012, E06000034, E06000035, E06000042, E06000030, E06000058, E08000002","822, 881, 311, 886, 887, 826, 941, 882, 866, 883",Bexley,,GL,London,bexley.gov.uk,,E12000007,London,E09000004,E09000004,Bexley,,E09000004,Bexley,England,78080,London Borough
80429,330,E08000025,"892, 352, 380, 391, 353, 889, 373, 806, 852, 355","E06000018, E08000003, E08000032, E08000021, E08000004, E06000008, E08000019, E06000002, E06000045, E08000006","380, 831, 308, 821, 352, 892, 333, 335, 320, 336",Birmingham,,WM,West Midlands,birminghamchildrenstrust.co.uk,330,E12000005,West Midlands,E08000025,E08000025,Birmingham,,E08000025,Birmingham,England,432811,Metropolitan District
80430,889,E06000008,"380, 353, 350, 831, 354, 335, 373, 861, 330, 382","E08000032, E08000004, E08000001, E06000015, E08000005, E08000030, E08000019, E06000021, E08000025, E08000034","350, 380, 331, 831, 382, 353, 874, 354, 894, 335",Blackburn with Darwen,,NW,North West,blackburn.gov.uk,889,E12000002,North West,E06000008,E06000008,Blackburn with Darwen,,E06000008,Blackburn with Darwen,England,55286,Unitary Authority
80431,890,E06000009,"805, 806, 394, 341, 393, 807, 354, 880, 355, 861","E06000001, E06000002, E08000024, E08000012, E08000023, E06000003, E08000005, E06000027, E08000006, E06000021","876, 805, 810, 340, 806, 812, 807, 393, 861, 357",Blackpool,,NW,North West,blackpool.gov.uk,890,E12000002,North West,E06000009,E06000009,Blackpool,,E06000009,Blackpool,England,39455,Unitary Authority
80432,350,E08000001,"354, 831, 353, 357, 335, 355, 889, 331, 373, 874","E08000005, E06000015, E08000004, E08000008, E08000030, E08000006, E06000008, E08000026, E08000019, E06000031","381, 331, 831, 332, 382, 383, 354, 372, 357, 894",Bolton,,NW,North West,bolton.gov.uk,,E12000002,North West,E08000001,E08000001,Bolton,,E08000001,Bolton,England,98113,Metropolitan District
